scienceRule,receivedMonth,labelMonth,commentsUnique,commentsAll,docketsUnique,unq_per_dkts,all_per_dkts
0.0,1,Jan,758,126937,62,12.225806451612904,2047.3709677419354
0.0,2,Feb,1475,78357,72,20.48611111111111,1088.2916666666667
0.0,3,Mar,836,911,49,17.06122448979592,18.591836734693878
0.0,4,Apr,351,74451,54,6.5,1378.7222222222222
0.0,5,May,780,59034,52,15.0,1135.2692307692307
0.0,6,Jun,709,30509,40,17.725,762.725
1.0,1,Jan,1,1,1,,
1.0,3,Mar,3042,3042,1,,
1.0,4,Apr,1161,6541,1,,
1.0,5,May,8888,328713,1,,
1.0,6,Jun,1,1,1,,
